login,location,bio,createdAt,country
Username_90_1,"João Pessoa, Brazil",I'm a mobile software engineer. I also develop Web.,2021-01-06T15:47:43Z,BR
Username_90_2,"near nims university ,Rajasthan , india",college going student of first year of BCA from NIMS university course duration 2023-2026,2023-01-01T06:42:12Z,IN
Username_90_3,United States,"newbie software developer learning how to code! i enjoy coffee, walks, games an creating things. ",2022-01-04T01:13:07Z,US
Username_90_4,Nigeria,PayMedia Network (PNET) is a standard ERC20 Blockchain Network Symbol of Value to Virtual Contents.,2023-01-16T10:20:38Z,NG
Username_90_5,India,Open Source🚩 •  React🚀  •  Active Contributor  •  Explorer🥑,2022-01-13T09:15:40Z,IN
Username_90_6,"Hull, United Kingdom","A Flutter developer and Software Engineering student from Kyiv, Ukraine based in Hull, UK.",2021-01-19T11:26:20Z,UK
Username_90_7,United States,A PhD student in Communication Sciences and Disorders with a focus on hearing sciences.,2025-01-15T00:21:29Z,US
Username_90_8,"Curitiba, Paraná, Brazil",Master IT Audit | Senior IT Fraud Investigator | Master in Social Engineering | Senior Python Software Engineer,2025-01-23T18:27:07Z,BR
Username_90_9,United Kingdom,"I am a passionate web developer who enjoy scoding in an efficient, manageable, and systematic way. ",2023-01-20T11:46:46Z,UK
Username_90_10,Nigeria,"I'm a  passionate full web developer, photographer and graphics designer.  ",2022-01-10T00:19:34Z,NG
